"filename", "language", "C++", "QRC", "XML", "HTML", "Markdown", "Objective-C++", "CMake", "C", "comment", "blank", "total"
"c:\Users\umara\Desktop\Vaultorix\dependencies\qtkeychain\gnomekeyring.cpp", "C++", 77, 0, 0, 0, 0, 0, 0, 0, 0, 10, 87
"c:\Users\umara\Desktop\Vaultorix\dependencies\qtkeychain\gnomekeyring_p.h", "C++", 77, 0, 0, 0, 0, 0, 0, 0, 0, 18, 95
"c:\Users\umara\Desktop\Vaultorix\dependencies\qtkeychain\keychain.cpp", "C++", 176, 0, 0, 0, 0, 0, 0, 0, 8, 52, 236
"c:\Users\umara\Desktop\Vaultorix\dependencies\qtkeychain\keychain.h", "C++", 93, 0, 0, 0, 0, 0, 0, 0, 145, 45, 283
"c:\Users\umara\Desktop\Vaultorix\dependencies\qtkeychain\keychain_android.cpp", "C++", 146, 0, 0, 0, 0, 0, 0, 0, 8, 44, 198
"c:\Users\umara\Desktop\Vaultorix\dependencies\qtkeychain\keychain_apple.mm", "Objective-C++", 0, 0, 0, 0, 0, 214, 0, 0, 8, 42, 264
"c:\Users\umara\Desktop\Vaultorix\dependencies\qtkeychain\keychain_haiku.cpp", "C++", 148, 0, 0, 0, 0, 0, 0, 0, 11, 34, 193
"c:\Users\umara\Desktop\Vaultorix\dependencies\qtkeychain\keychain_p.h", "C++", 119, 0, 0, 0, 0, 0, 0, 0, 8, 41, 168
"c:\Users\umara\Desktop\Vaultorix\dependencies\qtkeychain\keychain_unix.cpp", "C++", 508, 0, 0, 0, 0, 0, 0, 0, 46, 84, 638
"c:\Users\umara\Desktop\Vaultorix\dependencies\qtkeychain\keychain_win.cpp", "C++", 228, 0, 0, 0, 0, 0, 0, 0, 26, 39, 293
"c:\Users\umara\Desktop\Vaultorix\dependencies\qtkeychain\libsecret.cpp", "C++", 308, 0, 0, 0, 0, 0, 0, 0, 0, 37, 345
"c:\Users\umara\Desktop\Vaultorix\dependencies\qtkeychain\libsecret_p.h", "C++", 23, 0, 0, 0, 0, 0, 0, 0, 0, 11, 34
"c:\Users\umara\Desktop\Vaultorix\dependencies\qtkeychain\org.kde.KWallet.xml", "XML", 0, 0, 276, 0, 0, 0, 0, 0, 0, 1, 277
"c:\Users\umara\Desktop\Vaultorix\dependencies\qtkeychain\plaintextstore.cpp", "C++", 81, 0, 0, 0, 0, 0, 0, 0, 9, 21, 111
"c:\Users\umara\Desktop\Vaultorix\dependencies\qtkeychain\plaintextstore_p.h", "C++", 25, 0, 0, 0, 0, 0, 0, 0, 9, 14, 48
"c:\Users\umara\Desktop\Vaultorix\resources\IconManager.cpp", "C++", 151, 0, 0, 0, 0, 0, 0, 0, 1, 45, 197
"c:\Users\umara\Desktop\Vaultorix\resources\IconManager.h", "C++", 13, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\umara\Desktop\Vaultorix\resources\Icons.h", "C++", 130, 0, 0, 0, 0, 0, 0, 0, 0, 29, 159
"c:\Users\umara\Desktop\Vaultorix\resources\IllustrationManager.cpp", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 0, 16, 49
"c:\Users\umara\Desktop\Vaultorix\resources\IllustrationManager.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
